dv,testvar,spec,ctrl,coef,tstat
ame,p56,yes,stats_brw topic_brw t2,.0107681390437235,.5380863769880987
ame,p56,yes,stats_brw topic_brw t3,.0108723855605187,.5454551958799465
ame,p56,yes,stats_brw topic_brw i.mdegree,.0333489199797388,1.796633175513867
ame,p56,yes,stats_brw t2 t3,.0179870644293918,.8732899197106873
ame,p56,yes,stats_brw t2 i.mdegree,.0457421569808907,2.500635640525061
ame,p56,yes,stats_brw t3 i.mdegree,.0471322227282583,2.518487431807485
ame,p56,yes,topic_brw t2 t3,.0185976233941018,.8818318020152048
ame,p56,yes,topic_brw t2 i.mdegree,.0443434407600162,2.168683517255266
ame,p56,yes,topic_brw t3 i.mdegree,.0457319995012068,2.218952280885221
ame,p56,yes,t2 t3 i.mdegree,.0496907171124181,2.498693962988698
ame,p56,yes,stats_brw topic_brw t2 t3,.0109479292776864,.5492039090773542
ame,p56,yes,stats_brw topic_brw t2 i.mdegree,.0332750646910538,1.810390116969594
ame,p56,yes,stats_brw topic_brw t3 i.mdegree,.0342653561665827,1.895676870417501
ame,p56,yes,stats_brw t2 t3 i.mdegree,.0477165940787777,2.533177867124423
ame,p56,yes,topic_brw t2 t3 i.mdegree,.0462054283989771,2.237127830483626
ame,p56,yes,stats_brw topic_brw t2 t3 i.mdegree,.0348303779507466,1.92581546338173
ame,p12,no,,-.0137893400031931,-.5264194250951515
ame,p56,no,,.0166371733113502,.785273263296574
ame,p12,no,stats_brw,-.0020057635876343,-.0801661882188216
ame,p56,no,stats_brw,.0177609670792618,.8195696915739551
ame,p12,no,topic_brw,-.0280634332342179,-1.015918079043901
ame,p56,no,topic_brw,.011781984854943,.5576631196587963
ame,p12,no,t2,-.0137082338246275,-.4811919530417579
ame,p56,no,t2,.0166397245877858,.7860890514172022
ame,p12,no,t3,-.0144967357590674,-.5657102228634076
ame,p56,no,t3,.0160901227907399,.7528714908154327
ame,p12,no,i.mdegree,-.0461590687174733,-1.655717694510403
ame,p56,no,i.mdegree,.0381929895179094,2.111732634382034
ame,p12,no,stats_brw topic_brw,-.0065584478550658,-.2106332208823595
ame,p56,no,stats_brw topic_brw,.0100531184280834,.4850351861067753
ame,p12,no,stats_brw t2,.0001920157218833,.0071880084546605
ame,p56,no,stats_brw t2,.0178494303580702,.8242085866651315
ame,p12,no,stats_brw t3,-.002490696933148,-.1011531090910272
ame,p56,no,stats_brw t3,.0171255433877698,.7834995877832129
ame,p12,no,stats_brw i.mdegree,-.0367227184940425,-1.609394124064262
ame,p56,no,stats_brw i.mdegree,.0383280843323349,2.020663787640349
ame,p12,no,topic_brw t2,-.0291973985750934,-.9481922090204564
ame,p56,no,topic_brw t2,.0117319444086687,.5554830746385577
ame,p12,no,topic_brw t3,-.0286748728960262,-1.067627444451462
ame,p56,no,topic_brw t3,.0112912847978478,.5341687165339475
ame,p12,no,topic_brw i.mdegree,-.0595137153473793,-2.037537399566219
ame,p56,no,topic_brw i.mdegree,.0314285069072643,1.650689166326567
ame,p12,no,t2 t3,-.0200660421577391,-.758874712902897
ame,p56,no,t2 t3,.015464022955089,.7251026492779004
ame,p12,no,t2 i.mdegree,-.0517455658079977,-1.745904372761627
ame,p56,no,t2 i.mdegree,.0370716179132247,1.99127172037726
ame,p12,no,t3 i.mdegree,-.0446000785041275,-1.510049275006335
ame,p56,no,t3 i.mdegree,.0398804601244563,2.170818505629403
ame,p12,no,stats_brw topic_brw t2,-.0027658335090802,-.0858572422330025
ame,p56,no,stats_brw topic_brw t2,.0101750131665957,.4915790221147571
ame,p12,no,stats_brw topic_brw t3,-.007199205348359,-.2334959429930291
ame,p56,no,stats_brw topic_brw t3,.0092014665127614,.4430369535284865
ame,p12,no,stats_brw topic_brw i.mdegree,-.0519124861525089,-2.290173992301286
ame,p56,no,stats_brw topic_brw i.mdegree,.0223359223014994,1.147442962287431
ame,p12,no,stats_brw t2 t3,-.0058534754097322,-.2341718036613261
ame,p56,no,stats_brw t2 t3,.0167550071881198,.7651543985415707
ame,p12,no,stats_brw t2 i.mdegree,-.0403882388247023,-1.689201369722993
ame,p56,no,stats_brw t2 i.mdegree,.0376392748884453,1.939017581039038
ame,p12,no,stats_brw t3 i.mdegree,-.0353905923981796,-1.437637278803876
ame,p56,no,stats_brw t3 i.mdegree,.0399327762324465,2.069420527753897
ame,p12,no,topic_brw t2 t3,-.0365290233198653,-1.313994165994764
ame,p56,no,topic_brw t2 t3,.0103547158325995,.4926661037536638
ame,p12,no,topic_brw t2 i.mdegree,-.0665562238508186,-2.03868635907013
ame,p56,no,topic_brw t2 i.mdegree,.0299374878796848,1.489738542402037
ame,p12,no,topic_brw t3 i.mdegree,-.0577512810022843,-1.915163374393341
ame,p56,no,topic_brw t3 i.mdegree,.0330544864429776,1.755657900217161
ame,p12,no,t2 t3 i.mdegree,-.0434434828834191,-1.532855394538118
ame,p56,no,t2 t3 i.mdegree,.0402031299091388,2.225997530461887
ame,p12,no,stats_brw topic_brw t2 t3,-.0093260292860201,-.3153499426011823
ame,p56,no,stats_brw topic_brw t2 t3,.0089732171703308,.4328753120324222
ame,p12,no,stats_brw topic_brw t2 i.mdegree,-.0542915941804927,-2.20496904082093
ame,p56,no,stats_brw topic_brw t2 i.mdegree,.021911141911693,1.084771974400234
ame,p12,no,stats_brw topic_brw t3 i.mdegree,-.0511049620614765,-2.215638429450554
ame,p56,no,stats_brw topic_brw t3 i.mdegree,.0232745562482658,1.232979413792515
ame,p12,no,stats_brw t2 t3 i.mdegree,-.0304527659009075,-1.25302853293305
ame,p56,no,stats_brw t2 t3 i.mdegree,.0412366910303034,2.110109209438681
ame,p12,no,topic_brw t2 t3 i.mdegree,-.0609662537763368,-2.052438483280666
ame,p56,no,topic_brw t2 t3 i.mdegree,.0321069603707385,1.723215565192376
ame,p12,no,stats_brw topic_brw t2 t3 i.mdegree,-.0503799370577997,-1.994583193055834
ame,p56,no,stats_brw topic_brw t2 t3 i.mdegree,.0234775035776456,1.213667781528416
ame,group1,yes,,-.0412162657272284,-1.377918125168674
ame,group1,yes,stats_brw,-.0358679726824799,-1.314555727306345
ame,group1,yes,topic_brw,-.0470332325098737,-1.53109434936392
ame,group1,yes,t2,-.0432411426277464,-1.366068047167736
ame,group1,yes,t3,-.0405670456695494,-1.363538070944604
ame,group1,yes,i.mdegree,-.0782040489426062,-2.281474797251978
ame,group1,yes,stats_brw topic_brw,-.0332030361622246,-1.193923931986427
ame,group1,yes,stats_brw t2,-.0370541129876309,-1.300558682495568
ame,group1,yes,stats_brw t3,-.0347446981881651,-1.296627571719309
ame,group1,yes,stats_brw i.mdegree,-.071347740041461,-2.392841909105198
